no, name ,code, type, size
73,車検有効期限日,SYAK_YKDAY,CHAR,8
74,契約管理番号,KYK_KNRNO,CHAR,15
75,契約種別コード,KYK_SYBCD,CHAR,2
76,契約番号,KYKNO,CHAR,14
77,契約サービス価格適用フラグ,KYK_SVC_KKU_TYFLG,CHAR,1
78,メンテナンス計画消し込みフラグ,MNT_KEIK_DEL_FLG,CHAR,1
79,前受金振替フラグ,MUKN_FRKFLG,CHAR,1
80,契約メンテ定額フラグ,KYK_MNT_TGFLG,CHAR,1
81,部品送り先郵便番号,BHN_SFSK_ZIP,CHAR,7
82,部品送り先住所,BHN_SFSK_ADR,GRAPHIC,49
83,部品送り先電話番号,BHN_SFSK_TEL,CHAR,13
84,部品送り先ＦＡＸ番号,BHN_SFSK_FAX,CHAR,13
85,部品送り先部署名称,BHN_SFSK_BSYNM,GRAPHIC,50
86,部品送り先担当者氏名,BHN_SFSK_TNTNM,GRAPHIC,50
87,代金支払方法区分,DKNSHR_KBN,CHAR,1
88,代受条件入力可否,DUKJKN_IKHI,CHAR,1
89,代金支払方法コメント,DKNSHR_CMT,GRAPHIC,50
90,作業形態コード,SGYO_KTICD,CHAR,2
91,作業形態名称,SGKT_NM,GRAPHIC,25
92,売上区分１,UAGE_KBN_1,CHAR,1
93,売上区分２,UAGE_KBN_2,CHAR,1
94,売上区分３,UAGE_KBN_3,CHAR,2
95,社内社外区分,SYAN_SYAG_KBN,CHAR,1
96,作業場所区分,SGYO_BASY_KBN,CHAR,1
97,作業場所係数,SGBS_KISU,DECIMAL,3
98,作業場所コメント,SGBS_CMT,GRAPHIC,50
99,概要１,GAIYO_1,GRAPHIC,30
100,概要２,GAIYO_2,GRAPHIC,30
101,固定資産番号,KTISSN_NO,CHAR,17
102,作番発行日,SBN_HKDAY,CHAR,8
103,作番ステータス,SBN_STS,CHAR,1
104,作番クローズ日,SBN_CLDAY,CHAR,8
105,作番クローズ理由コード,SBN_CLOS_RSNCD,CHAR,1
106,作番クローズ戻し日,SBN_CLSE_BKDAY,CHAR,8
107,作業実施予定日,SGYO_JISI_YTDAY,CHAR,8
108,希望納期,KNOKI,CHAR,8
109,作業指示書発行区分,SJSHO_HAKO_KBN,CHAR,1
110,作業指示書発行日,SJSHO_HKDAY,CHAR,8
111,作業指示書最終発行日,SJSHO_LAST_HKDAY,CHAR,8
112,作業実績登録有無,SGJSK_INP_UMFLG,CHAR,1
113,実績累計工数,JRKOS,DECIMAL,7
114,指示累計工数,SIJI_RKI_KOS,DECIMAL,7
115,作業外注検収ステータス,SGYO_GT_KENS_STS,CHAR,1
116,作業完了確認フラグ,SGYO_KNRO_KNFLG,CHAR,1
117,全作業実完了フラグ,ZGYO_JKRFLG,CHAR,1
118,全作業完了日,ZGYO_KRDAY,CHAR,8
119,完了登録フラグ,KNRO_TRFLG,CHAR,1
120,作業完了日,SGYO_KRDAY,CHAR,8
121,作業完了確認日,SGYO_KNRO_KNDAY,CHAR,8
122,作業完了ロット番号,SGYO_KNRO_LOTNO,CHAR,11
123,作業完了日ステータス,SGYO_KRDAY_STS,CHAR,1
124,顧客検収日,KKYK_KSIDAY,CHAR,8
125,原価確認フラグ,GNKA_KNFLG,CHAR,1
126,原価計上確認日,GNKKJ_KNDAY,CHAR,8
127,原価計上承認日,GNKKJ_SNDAY,CHAR,8
128,売上計上フラグ,UAGE_KJFLG,CHAR,1
129,売上日,URDAY,CHAR,8
130,当初売上日,BIGIN_URDAY,CHAR,8
131,請求書発行フラグ,SKSHO_HKFLG,CHAR,1
132,請求書発行日,SKSHO_HKDAY,CHAR,8
133,納品書発行フラグ,NHSNO_HKFLG,CHAR,1
134,納品書発行日,NHSNO_HKDAY,CHAR,8
135,見積請求係数,MIT_INV_KISU,DECIMAL,3
136,指示係数,SIJI_KISU,DECIMAL,3
137,代表作業明細番号,DIHY_SGYO_MSINO,CHAR,3
138,案件番号,ANKNO,CHAR,11
139,見積番号,MITNO,CHAR,12
140,見積番号追番,MITNO_MNO,CHAR,2
141,精算見積番号,SEISAN_MITNO,CHAR,12
142,精算見積番号追番,SEISAN_MITNO_MNO,CHAR,2
143,参照作番,LK_SBN,CHAR,9
144,設備コード１,STBCD_1,CHAR,1
145,設備コード２,STBCD_2,CHAR,1
146,設備コード３,STBCD_3,CHAR,1
147,設備コード４,STBCD_4,CHAR,1
148,設備コード５,STBCD_5,CHAR,1
149,部品直送区分,BHN_TYKS_KBN,CHAR,1
150,部品発送種別,BHN_HASO_SYB,CHAR,1
151,引当元作番,HAT_MOTO_SBN,CHAR,9
152,出庫伝票出力予定日,SHKDNP_OUT_YTDAY,CHAR,8
153,出庫伝票コメント,SHKDNP_CMT,GRAPHIC,50
154,指定振当ポイントコード,SITI_FRAT_PNTCD,CHAR,4
155,発注残引当フラグ,HACYUZN_HATFLG,CHAR,1
156,未手配作成フラグ,MTEHI_MKFLG,CHAR,1
157,補給性展開区分,HKYS_TKAI_KBN,CHAR,1
158,補給性展開方法区分,HKYS_TKHOHO_KBN,CHAR,1
159,請求書出力区分,SKS_SYRY_KBN,CHAR,1
160,請求書一式出力コメント,SKSIS_OUT_CMT,GRAPHIC,50
161,作業指示書作業詳細印刷有無,SJSHO_SGDLPUMU,CHAR,1
162,作業詳細印刷有無,SGDTL_PTUMU,CHAR,1
163,定額部品印刷有無,TGBHN_PTUMU,CHAR,1
164,備考１,BIKO_1,GRAPHIC,50
165,備考２,BIKO_2,GRAPHIC,50
166,作番添付ファイル,SBN_FILE,CHAR,15
172,注文書必須フラグ,TMSHO_HSFLG,CHAR,1
183,標準価格合計金額,HJUN_KKU_GKKG,DECIMAL,11
184,社内標準価格合計金額,SYAN_HYJK_GKKG,DECIMAL,11
185,原価合計金額,GNKA_GKKG,DECIMAL,11
186,条件値引合計金額,JKN_NBK_GKKG,DECIMAL,11
187,特別値引合計金額,TBNB_GKKG,DECIMAL,11
188,請求価格合計金額,INV_KKU_GKKG,DECIMAL,11
192,粗利合計金額,ARRI_GKKG,DECIMAL,11
193,粗利合計率,ARRI_GKR,DECIMAL,5
194,特別値引合計率,TBNB_GKR,DECIMAL,5
195,直接原価合計額,TYK_GNKA_GKKG,DECIMAL,11
196,非課税金額,HKKG,DECIMAL,11
197,消費税額,SHZG,DECIMAL,11
198,消費税率,SZR,DECIMAL,5
199,税抜請求金額,ZNK_SKKG,DECIMAL,11
200,課税区分,KZI_KBN,CHAR,1
201,請求金額,SKKG,DECIMAL,11
202,手数料金利込請求金額,TSRY_KRK_SKKG,DECIMAL,11
203,サービス経歴集計処理区分,SVCKR_SUM_SKBN,CHAR,1
205,回収値引有無フラグ,COL_NBK_UMFLG,CHAR,1
206,最新価格取得日,NEW_KKU_SUDAY,CHAR,17
208,部品値引対象区分,BHN_NBK_KBN,CHAR,1
209,登録ユーザＩＤ,TRK_USERID,CHAR,8
210,登録ＰＧＭＩＤ,TRK_PGMID,CHAR,30
211,登録日時,INP_DAYT,TIMESTAMP,10
212,最終更新ユーザＩＤ,SIS_KS_USERID,CHAR,8
213,最終更新ＰＧＭＩＤ,SIS_KS_PGMID,CHAR,30
214,最終更新日時,LAST_UPD_DAYT,TIMESTAMP,10
215,特記事項内容,TOKKIJ_NIY,VARCHAR,1001
